Municipality,Economic Cluster,Total Votes,Labour,Yamina,Yahadot Hatora,The Joint Party,Zionut Datit,Kachul Lavan,Israel Betinu,Licod,Merez,Raam,Yesh Atid,Shas,Tikva Hadasha
Arara,3,5286,27,0,0,3225,0,4,0,51,236,1627,22,4,53
Arara in the Negev,1,4353,2,0,0,347,0,1,1,69,36,3841,18,6,6
Fureidis,3,2546,20,1,0,931,2,5,0,173,227,1017,24,95,9
Fasuta,5,1146,17,0,0,710,0,8,8,125,234,3,23,0,4
Peki'in Buqiya,4,2606,63,0,0,749,0,60,1142,170,172,16,96,30,98
Pardes Hana,7,21462,2940,1141,96,69,753,1813,873,5679,1735,4,3844,930,1075
Pardesiya,7,4053,387,283,14,2,74,524,104,864,181,0,1118,90,325
Petah Tiqwa,7,127857,5254,11311,5375,78,8914,9097,9888,35104,2861,13,20979,9391,7523
Zefat,3,13231,115,518,1943,63,2168,246,792,4141,77,37,371,2322,244
Kdomim,5,2056,7,450,5,1,1156,6,13,340,2,0,7,34,25
Kadima Tzoran,8,11672,1153,629,33,6,273,1278,435,2288,709,2,3427,554,717
Kalenswa,2,5123,24,1,0,3498,1,4,1,79,177,1218,56,3,40
Kazir,5,1522,271,69,2,22,13,145,92,239,165,3,377,10,70
Katzrin,5,3408,123,254,19,7,356,138,568,1024,56,1,439,93,237
Kiryat Ono,9,21553,2327,1093,59,22,494,2742,712,4266,1706,4,5850,544,1345
Kiryat Arba,3,3018,12,195,23,1,1623,8,62,876,12,0,23,85,55
Kiryat Ata,6,29223,792,1950,556,13,1330,1714,2070,12345,278,5,3447,2471,1797
Kiryat Bialik,7,21491,993,1364,175,10,325,1855,1942,6964,508,4,4615,683,1678
Kiryat Gat,4,26958,447,1319,1979,6,1686,1205,2811,10192,141,6,1866,3537,1398
Kiryat Tiv'on,9,9315,1765,365,98,64,130,1079,264,1253,1269,3,2305,63,466
Kiryat Yam,5,19224,490,945,66,5,398,868,3409,7899,177,8,2505,813,1289
Kiryat Ye'arim,2,2488,9,23,1659,0,185,6,0,81,3,0,6,468,10
Kiryat Motzkin,7,24272,1129,1675,65,14,503,2122,2307,7738,503,3,5067,677,2048
Kiryat Malachi,4,10846,112,563,570,4,1791,505,180,4550,28,3,241,1834,312
Kiryat Ekron,5,5496,125,340,32,12,299,315,161,2798,46,2,396,589,291
Kiryat Shmona,5,10393,257,573,40,12,560,399,917,5339,110,4,527,971,572
Karni Shomron,5,4551,53,932,33,1,1679,61,125,1130,16,0,129,142,183
Rama,4,3463,68,4,2,1423,2,83,220,486,222,342,142,24,434
Rosh HaAyin,6,34737,1759,2600,534,21,2083,3677,1139,10609,972,3,5718,2844,2159
Rosh Pina,7,1637,262,77,5,8,113,181,48,353,177,4,277,24,82
Rishon Lezion,7,133936,6375,8336,726,74,3722,12444,10857,42313,3247,18,28289,5107,9962
Rahat,1,16887,75,13,10,3735,1,42,10,1026,470,10626,89,14,124
Rehovot,6,72543,4800,4967,2585,103,4493,5370,4383,19102,3348,23,13112,4903,4203
Reina,3,5208,21,0,1,2876,5,9,0,144,158,1863,75,6,3
Rechasim,2,5361,13,32,2309,0,121,21,20,337,10,0,50,2416,18
Ramla,4,31368,613,1325,122,1946,1118,968,1359,14159,533,1756,1896,3765,1370
Ramat Gan,8,87673,8960,5031,700,237,2588,9831,3999,19093,6634,23,20479,2720,5561
Ramat Hasharon,9,26955,3025,953,403,45,455,3766,848,4181,3294,6,7858,592,1235
Ramat Yishai,8,4284,409,271,9,1,86,552,124,971,229,0,1179,53,346
Raanana,8,44539,3526,5262,488,44,2017,4853,1349,8773,2991,6,10621,1627,2446
Shibli Um Elganam,3,1593,56,0,1,435,3,18,8,72,67,812,41,18,51
Segev Shalom,1,2693,3,2,25,215,0,1,0,24,6,2333,9,52,0
Sderot,5,12701,254,1711,98,16,1342,392,964,5227,132,7,543,1425,423
Shoham,8,12019,977,1414,17,10,401,1520,305,2395,605,0,3107,217,901
Shlomi,6,3426,79,231,19,4,120,126,313,1501,38,1,331,445,167
Sheb,2,2946,2,2,0,1499,0,1,0,23,18,1296,49,2,37
Shefar'am,3,13215,245,12,2,7118,1,91,1532,445,551,2552,387,36,97
Tel Aviv Jaffa,8,262696,38780,9575,2005,5118,4506,28301,9611,44572,36739,1264,58019,9523,10942
Tel Mond,8,7220,666,485,8,3,152,893,193,1546,430,1,2148,139,469
Tel Sheva,1,4362,11,1,0,538,0,3,0,88,43,3632,17,3,0
